"resource_type_key","uri","label","parent_label_1","parent_label_2","parent_label_3","label_es"
694,"http://purl.org/coar/resource_type/c_7acd","CORRIGENDUM","JOURNAL ARTICLE","JOURNAL","TEXT","CORRIGENDA"
695,"http://purl.org/coar/resource_type/c_beb9","DATA PAPER","JOURNAL ARTICLE","JOURNAL","TEXT","ARTÍCULO DE DATOS"
696,"http://purl.org/coar/resource_type/c_2df8fbb1","RESEARCH ARTICLE","JOURNAL ARTICLE","JOURNAL","TEXT","ARTÍCULO ORIGINAL"
697,"http://purl.org/coar/resource_type/c_dcae04bc","REVIEW ARTICLE","JOURNAL ARTICLE","JOURNAL","TEXT","ARTÍCULO DE REVISIÓN"
698,"http://purl.org/coar/resource_type/c_7bab","SOFTWARE PAPER","JOURNAL ARTICLE","JOURNAL","TEXT","ARTÍCULO DE SOFTWARE"
699,"http://purl.org/coar/resource_type/c_5794","CONFERENCE PAPER","CONFERENCE PROCEEDINGS","CONFERENCE OUTPUT","TEXT","COMUNICACIÓN DE CONGRESO"
700,"http://purl.org/coar/resource_type/c_6670","CONFERENCE POSTER","CONFERENCE PROCEEDINGS","CONFERENCE OUTPUT","TEXT","PÓSTER DE CONGRESO"
701,"http://purl.org/coar/resource_type/c_7a1f","BACHELOR THESIS","THESIS","TEXT",NULL,"PROYECTO FIN DE CARRERA"
702,"http://purl.org/coar/resource_type/c_db06","DOCTORAL THESIS","THESIS","TEXT",NULL,"TESIS DOCTORAL"
703,"http://purl.org/coar/resource_type/c_bdcc","MASTER THESIS","THESIS","TEXT",NULL,"TESIS DE MAESTRÍA"
704,"http://purl.org/coar/resource_type/c_ba08","BOOK REVIEW","REVIEW","TEXT",NULL,"RESEÑA DE LIBRO"
705,"http://purl.org/coar/resource_type/D97F-VB57","COMMENTARY","REVIEW","TEXT",NULL,"COMENTARIO"
706,"http://purl.org/coar/resource_type/H9BQ-739P","PEER REVIEW","REVIEW","TEXT",NULL,"REVISIÓN POR PARES"
707,"http://purl.org/coar/resource_type/c_7877","CLINICAL STUDY","REPORT","TEXT",NULL,"ESTUDIO CLÍNICO"
708,"http://purl.org/coar/resource_type/c_ab20","DATA MANAGEMENT PLAN","REPORT","TEXT",NULL,"PLAN DE GESTIÓN DE DATOS"
709,"http://purl.org/coar/resource_type/c_18wz","MEMORANDUM","REPORT","TEXT",NULL,"MEMORÁNDUM"
710,"http://purl.org/coar/resource_type/c_186u","POLICY REPORT","REPORT","TEXT",NULL,"MEMORIA DE ACTUACIÓN"
711,"http://purl.org/coar/resource_type/c_18op","PROJECT DELIVERABLE","REPORT","TEXT",NULL,"ENTREGABLE DE PROYECTO"
712,"http://purl.org/coar/resource_type/YZ1N-ZFT9","RESEARCH PROTOCOL","REPORT","TEXT",NULL,"PROTOCOLO DE INVESTIGACIÓN"
713,"http://purl.org/coar/resource_type/c_18ws","RESEARCH REPORT","REPORT","TEXT",NULL,"INFORME CIENTÍFICO"
714,"http://purl.org/coar/resource_type/c_18gh","TECHNICAL REPORT","REPORT","TEXT",NULL,"INFORME TÉCNICO"
715,"http://purl.org/coar/resource_type/c_998f","NEWSPAPER ARTICLE","NEWSPAPER","TEXT",NULL,"ARTÍCULO DE PERIÓDICO"
716,"http://purl.org/coar/resource_type/c_b239","EDITORIAL","JOURNAL","TEXT",NULL,"EDITORIAL"
717,"http://purl.org/coar/resource_type/c_6501","JOURNAL ARTICLE","JOURNAL","TEXT",NULL,"ARTÍCULO"
718,"http://purl.org/coar/resource_type/c_545b","LETTER TO THE EDITOR","JOURNAL","TEXT",NULL,"CARTA AL DIRECTOR"
