type,subtype,label_es,coar_uri
ARTICULO,ARTICULO,ARTÍCULO ORIGINAL,http://purl.org/coar/resource_type/c_2df8fbb1
ARTICULO,COMUNICACION,ARTÍCULO,http://purl.org/coar/resource_type/c_6501
ARTICULO,CONTRIBUCION A REVISTA,CONTRIBUCIÓN A REVISTA,http://purl.org/coar/resource_type/c_3e5a
ARTICULO,DOCUMENTO DE TRABAJO,DOCUMENTO DE TRABAJO,http://purl.org/coar/resource_type/c_8042
ARTICULO,OTROS,REVISTA,http://purl.org/coar/resource_type/c_0640
ARTICULO,PREPRINT,ARTÍCULO PRELIMINAR,http://purl.org/coar/resource_type/c_816b
ARTICULO,REPORTE,INFORME,http://purl.org/coar/resource_type/c_93fc
ARTICULO,REVISION,RESEÑA,http://purl.org/coar/resource_type/c_efa0
AUDIO,AUDIO,SONIDO,http://purl.org/coar/resource_type/c_18cc
AUDIO,DISCURSO,SONIDO,http://purl.org/coar/resource_type/c_18cc
AUDIO,ENTREVISTA,SONIDO,http://purl.org/coar/resource_type/c_18cc
AUDIO,MUSICA,COMPOSICIÓN MUSICAL,http://purl.org/coar/resource_type/c_18cd
AUDIO,TESTIMONIO,SONIDO,http://purl.org/coar/resource_type/c_18cc
CONJUNTO DE DATOS,CONJUNTO DE DATOS,CONJUNTO DE DATOS,http://purl.org/coar/resource_type/c_ddb1
CONJUNTO DE DATOS,PLACA ESPECTROGRAFICA,DATOS OBSERVACIONALES,http://purl.org/coar/resource_type/FF4C-28RK
CONJUNTO DE DATOS,PLACA FOTOGRAFICA,DATOS OBSERVACIONALES,http://purl.org/coar/resource_type/FF4C-28RK
DOCUMENTO INSTITUCIONAL,CONVENIO,TEXTO,http://purl.org/coar/resource_type/c_18cf
DOCUMENTO INSTITUCIONAL,DOCUMENTO INSTITUCIONAL,TEXTO,http://purl.org/coar/resource_type/c_18cf
DOCUMENTO INSTITUCIONAL,INFORME,INFORME,http://purl.org/coar/resource_type/c_93fc
DOCUMENTO INSTITUCIONAL,ORDENANZA,TEXTO,http://purl.org/coar/resource_type/c_18cf
DOCUMENTO INSTITUCIONAL,RESOLUCION,TEXTO,http://purl.org/coar/resource_type/c_18cf
IMAGEN EN MOVIMIENTO,VIDEO,VÍDEO,http://purl.org/coar/resource_type/c_12ce
IMAGEN FIJA,IMAGEN FIJA,IMAGEN FIJA,http://purl.org/coar/resource_type/c_ecc8
IMAGEN FIJA,PLANO,DISEÑO,http://purl.org/coar/resource_type/542X-3S04
LIBRO,CAPITULO DE LIBRO,CAPÍTULO DE LIBRO,http://purl.org/coar/resource_type/c_3248
LIBRO,LIBRO,LIBRO,http://purl.org/coar/resource_type/c_2f33
OBJETO DE APRENDIZAJE,CLASE,OBJETO DE APRENDIZAJE,http://purl.org/coar/resource_type/c_e059
OBJETO DE APRENDIZAJE,MATERIAL COMPLEMENTARIO,OBJETO DE APRENDIZAJE,http://purl.org/coar/resource_type/c_e059
OBJETO DE APRENDIZAJE,OBJETO DE APRENDIZAJE,OBJETO DE APRENDIZAJE,http://purl.org/coar/resource_type/c_e059
OBJETO DE APRENDIZAJE,PROGRAMA,OBJETO DE APRENDIZAJE,http://purl.org/coar/resource_type/c_e059
OBJETO DE APRENDIZAJE,TRABAJO PRACTICO,OBJETO DE APRENDIZAJE,http://purl.org/coar/resource_type/c_e059
OBJETO DE CONFERENCIA,OBJETO DE CONFERENCIA,CONTRIBUCIÓN DE CONGRESO,http://purl.org/coar/resource_type/c_c94f
OBJETO DE CONFERENCIA,RESUMEN,CONTRIBUCIÓN DE CONGRESO,http://purl.org/coar/resource_type/c_c94f
OBJETO FISICO,INSTRUMENTO CIENTIFICO,OTROS,http://purl.org/coar/resource_type/c_1843
OBJETO FISICO,INSTRUMENTO MUSICAL,OTROS,http://purl.org/coar/resource_type/c_1843
OBJETO FISICO,INSTRUMENTO,OTROS,http://purl.org/coar/resource_type/c_1843
OBJETO FISICO,OBJETO FISICO,OTROS,http://purl.org/coar/resource_type/c_1843
PROYECTO,PROYECTO DE EXTENSION,PROPUESTA DE INVESTIGACIÓN,http://purl.org/coar/resource_type/c_baaf
PROYECTO,PROYECTO DE INVESTIGACION,PROPUESTA DE INVESTIGACIÓN,http://purl.org/coar/resource_type/c_baaf
PUBLICACION SERIADA,BOLETIN,OTRAS PUBLICACIONES PERIÓDICAS,http://purl.org/coar/resource_type/QX5C-AR31
PUBLICACION SERIADA,EDICION DE REVISTA,REVISTA,http://purl.org/coar/resource_type/c_0640
PUBLICACION SERIADA,PUBLICACION SERIADA,OTRAS PUBLICACIONES PERIÓDICAS,http://purl.org/coar/resource_type/QX5C-AR31
REPORTE,INFORME DE PROYECTO,INFORME CIENTÍFICO,http://purl.org/coar/resource_type/c_18ws
REPORTE,REPORTE TECNICO,INFORME TÉCNICO,http://purl.org/coar/resource_type/c_18gh
TESIS,TESIS DE DOCTORADO,TESIS DOCTORAL,http://purl.org/coar/resource_type/c_db06
TESIS,TESIS DE GRADO,PROYECTO FIN DE CARRERA,http://purl.org/coar/resource_type/c_7a1f
TESIS,TESIS DE MAESTRIA,TESIS DE MAESTRÍA,http://purl.org/coar/resource_type/c_bdcc
TESIS,TRABAJO DE ESPECIALIZACION,TESIS DE MAESTRÍA,http://purl.org/coar/resource_type/c_bdcc
