Handle,Titulo,Unidad Académica,Tipo
10915/7,Facultad de Ciencias Jurídicas y Sociales,Facultad de Ciencias Jurídicas y Sociales,UA
10915/41,Facultad de Ciencias Naturales y Museo,Facultad de Ciencias Naturales y Museo,UA
10915/22,Facultad de Ciencias Exactas,Facultad de Ciencias Exactas,UA
10915/2,Facultad de Ingeniería,Facultad de Ingeniería,UA
10915/30,Facultad de Humanidades y Ciencias de la Educación,Facultad de Humanidades y Ciencias de la Educación,UA
10915/33,Facultad de Ciencias Económicas,Facultad de Ciencias Económicas,UA
10915/36,Facultad de Informática,Facultad de Informática,UA
10915/12,Facultad de Periodismo y Comunicación Social,Facultad de Periodismo y Comunicación Social,UA
10915/10,Facultad de Ciencias Agrarias y Forestales,Facultad de Ciencias Agrarias y Forestales,UA
10915/5,Facultad de Ciencias Veterinarias,Facultad de Ciencias Veterinarias,UA
10915/38,Facultad de Bellas Artes,Facultad de Bellas Artes,UA
10915/25,Facultad de Arquitectura y Urbanismo,Facultad de Arquitectura y Urbanismo,UA
10915/44,Facultad de Ciencias Médicas,Facultad de Ciencias Médicas,UA
10915/15,Facultad de Ciencias Astronómicas y Geofísicas,Facultad de Ciencias Astronómicas y Geofísicas,UA
10915/20,Facultad de Odontología,Facultad de Odontología,UA
10915/18,Facultad de Trabajo Social,Facultad de Trabajo Social,UA
10915/28,Facultad de Psicología,Facultad de Psicología,UA
10915/73404,"Liceo ""Víctor Mercante"" (UNLP)","Liceo ""Víctor Mercante"" (UNLP)",UA
10915/65311,"Colegio Nacional ""Rafael Hernández""","Colegio Nacional ""Rafael Hernández""",UA
10915/71503,"Bachillerato de Bellas Artes ""Francisco A. De Santo""","Bachillerato de Bellas Artes ""Francisco A. De Santo""",UA
10915/47,Presidencia,Presidencia,UA
10915/44146,47 al Fondo,Facultad de Ciencias Agrarias y Forestales,Revista
10915/51212,Abreletras-Psicodiagnóstico,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/123,Acta Farmacéutica Bonaerense,Colegio de Farmacéuticos de la Provincia de Buenos Aires,Revista
10915/51945,Actas de Periodismo y Comunicación,Facultad de Periodismo y Comunicación Social,Revista
10915/50277,Aletheia,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/814,Alp,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/510,Analecta Veterinaria,Facultad de Ciencias Veterinarias,Revista
10915/18892,Anales,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/661,Anuario del Instituto de Historia Argentina,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/60248,Anuario Temas en Psicología,Facultad de Psicología,Revista
10915/561,Aportes para la Integración Latinoamericana,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/57821,"Apuntes de Comunicación, Educación y Discurso",Facultad de Periodismo y Comunicación Social,Revista
10915/629,Archivos de Ciencias de la Educación,Facultad de Humanidades y Ciencias de la Educación,Revista
10915/688,Archivos de Pedagogía y Ciencias Afines,Facultad de Ciencias Jurídicas y Sociales,Revista
10915/18484,Arkadin,Facultad de Bellas Artes,Revista
10915/60251,Armiliar,Facultad de Bellas Artes,Revista
10915/18520,Arte e Investigación,Facultad de Bellas Artes,Revista
10915/1032,AUGMDOMUS,Universidades Grupo Montevideo (AUGM),Revista
10915/440,Auster,Facultad de Humanidades y Ciencias de la Educación,Revista
