label,metadata,is_publication,is_person,is_orgunit,type,authority,schema,element,qualifier
Fecha de creacion en Dspace,dc.date.accessioned,TRUE,FALSE,FALSE,date,FALSE,dc,date,accessioned
Fecha de disponibilidad en Dspace,dc.date.available,TRUE,FALSE,FALSE,date,FALSE,dc,date,available
Fecha de creación,dc.date.created,TRUE,FALSE,FALSE,date,FALSE,dc,date,created
Fecha de creación,dc.date.created,TRUE,FALSE,FALSE,date,FALSE,dc,date,created
Fecha de publicación,dc.date.issued,TRUE,FALSE,FALSE,date,FALSE,dc,date,issued
Resumen,dc.description.abstract,TRUE,FALSE,FALSE,string,FALSE,dc,description,abstract
Registro de Origen,dc.description.provenance,TRUE,FALSE,FALSE,string,FALSE,dc,description,provenance
Descripción Física,dc.format,TRUE,FALSE,FALSE,string,FALSE,dc,format,
Descripción Física,dc.format,TRUE,FALSE,FALSE,string,FALSE,dc,format,
Extensión/Dimensiones,dc.format.extent,TRUE,FALSE,FALSE,string,FALSE,dc,format,extent
Materiales/Técnicas,dc.format.medium,TRUE,FALSE,FALSE,string,FALSE,dc,format,medium
Materiales/Técnicas,dc.format.medium,TRUE,FALSE,FALSE,string,FALSE,dc,format,medium
HANDLE (DSPACE),dc.identifier.uri,TRUE,FALSE,TRUE,string,FALSE,dc,identifier,uri
Idioma,dc.language,TRUE,FALSE,FALSE,string,FALSE,dc,language,
Editorial,dc.publisher,FALSE,FALSE,TRUE,string,FALSE,dc,publisher,
Titulo de la serie o colección,dc.relation.ispartof,TRUE,FALSE,FALSE,string,FALSE,dc,relation,ispartof
Descriptor,dc.subject,TRUE,FALSE,FALSE,string,FALSE,dc,subject,
Título,dc.title,TRUE,FALSE,FALSE,string,FALSE,dc,title,
Título Alternativo,dc.title.alternative,TRUE,FALSE,FALSE,string,FALSE,dc,title,alternative
Tipo de Documento,dc.type,TRUE,FALSE,FALSE,string,FALSE,dc,type,
Contexto de uso,dcterms.audience,TRUE,FALSE,FALSE,string,FALSE,dcterms,audience,
Es parte de,dcterms.isPartOf,TRUE,FALSE,FALSE,string,FALSE,dcterms,isPartOf,
Localizacion Fisica,mods.location,TRUE,FALSE,FALSE,string,FALSE,mods,location,
Entidad de Origen,mods.originInfo.place,FALSE,FALSE,TRUE,string,FALSE,mods,originInfo,place
Fuente,mods.recordInfo.recordContentSource,FALSE,FALSE,TRUE,string,FALSE,mods,recordInfo,recordContentSource
Numero de Acta,sedici.acta,TRUE,FALSE,FALSE,string,FALSE,sedici,acta,
Codirector de tesis,sedici.contributor.codirector,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,codirector
Colaborador,sedici.contributor.colaborator,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,colaborator
Compilador,sedici.contributor.compiler,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,compiler
Director,sedici.contributor.director,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,director
Editor,sedici.contributor.editor,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,editor
Firmante,sedici.contributor.inscriber,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,inscriber
Jurado,sedici.contributor.juror,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,juror
Traductor,sedici.contributor.translator,FALSE,TRUE,FALSE,string,TRUE,sedici,contributor,translator
Autor Institucional,sedici.creator.corporate,FALSE,TRUE,FALSE,string,TRUE,sedici,creator,corporate
