type,label_es,coar_uri
info:ar-repo/semantics/artículo,ARTÍCULO,http://purl.org/coar/resource_type/c_6501
info:ar-repo/semantics/libro,LIBRO,http://purl.org/coar/resource_type/c_2f33
info:ar-repo/semantics/parte de libro,CAPÍTULO DE LIBRO,http://purl.org/coar/resource_type/c_3248
info:ar-repo/semantics/documento de conferencia,CONTRIBUCIÓN DE CONGRESO,http://purl.org/coar/resource_type/c_c94f
info:ar-repo/semantics/tesis doctoral,TESIS DOCTORAL,http://purl.org/coar/resource_type/c_db06
info:ar-repo/semantics/tesis de maestría,TESIS DE MAESTRÍA,http://purl.org/coar/resource_type/c_bdcc
info:ar-repo/semantics/tesis de grado,TESIS,http://purl.org/coar/resource_type/c_46ec
info:ar-repo/semantics/trabajo final de grado,TESIS DE MAESTRÍA,http://purl.org/coar/resource_type/c_bdcc
info:ar-repo/semantics/patente,PATENTE,http://purl.org/coar/resource_type/c_15cd
info:ar-repo/semantics/marca,MARCA,http://purl.org/coar/resource_type/H6QP-SC1X
info:ar-repo/semantics/modelo industrial,,#N/A
info:ar-repo/semantics/modelo de utilidad,MODELO DE UTILIDAD,http://purl.org/coar/resource_type/9DKX-KSAF
info:ar-repo/semantics/documento legal,,#N/A
info:ar-repo/semantics/reseña artículo,RESEÑA,http://purl.org/coar/resource_type/c_efa0
info:ar-repo/semantics/revisión literaria,,#N/A
info:ar-repo/semantics/documento de trabajo,DOCUMENTO DE TRABAJO,http://purl.org/coar/resource_type/c_8042
info:ar-repo/semantics/informe técnico,INFORME TÉCNICO,http://purl.org/coar/resource_type/c_18gh
info:ar-repo/semantics/fotografía,IMAGEN FIJA,http://purl.org/coar/resource_type/c_ecc8
info:ar-repo/semantics/plano,,#N/A
info:ar-repo/semantics/mapa,MAPA,http://purl.org/coar/resource_type/c_12cd
info:ar-repo/semantics/diapositiva,,#N/A
info:ar-repo/semantics/póster,,#N/A
info:ar-repo/semantics/imagen satelital,,#N/A
info:ar-repo/semantics/radiografía,,#N/A
info:ar-repo/semantics/transparencia,,#N/A
info:ar-repo/semantics/diapositiva de microscopio,,#N/A
info:ar-repo/semantics/película documental,,#N/A
info:ar-repo/semantics/videograbación,VÍDEO,http://purl.org/coar/resource_type/c_12ce
info:ar-repo/semantics/conjunto de datos,CONJUNTO DE DATOS,http://purl.org/coar/resource_type/c_ddb1
info:ar-repo/semantics/proyecto de investigación,PROPUESTA DE INVESTIGACIÓN,http://purl.org/coar/resource_type/c_baaf
