type,label_es,coar_uri
report,INFORME,http://purl.org/coar/resource_type/c_93fc
letter,CARTA,http://purl.org/coar/resource_type/c_0857
editorial,EDITORIAL,http://purl.org/coar/resource_type/c_b239
peer-review,REVISIÓN POR PARES,http://purl.org/coar/resource_type/H9BQ-739P
other,OTROS,http://purl.org/coar/resource_type/c_1843
article,ARTÍCULO,http://purl.org/coar/resource_type/c_6501
reference-entry,,#N/A
book-chapter,CAPÍTULO DE LIBRO,http://purl.org/coar/resource_type/c_3248
book,LIBRO,http://purl.org/coar/resource_type/c_2f33
erratum,,#N/A
dissertation,,#N/A
paratext,,#N/A
preprint,ARTÍCULO PRELIMINAR,http://purl.org/coar/resource_type/c_816b
