publication,work
internal_identifier,id
type,type
language,language
title,title
subtitle,
name_abbreviation,
published_in,
part_of,
publication_date,publication_date
number,
volume,volume
issue,issue
edition,
start_page,first_page
end_page,end_page
doi,doi
handle,
pmcid,pmcid
isi_number,
scp_number,
issn,
isbn,
url,
urn,
zbd_id,
authors,authorships
editors,
publishers,locations
license,
subject,topics
keyword,concepts
abstract,
status,
originates_from,
presented_at,
output_from,
coverage,
references,
ns4_access,
file_locations,
,mag
,pmid
,grants
,apc_list
,apc_paid
,indexed_in
,is_paratext
,open_access
,display_name
,has_fulltext
,is_retracted
,related_works
,type_crossref
,cited_by_count
,locations_count
,referenced_works
,_ab_source_file_url
,is_authors_truncated
,referenced_works_count
,cited_by_percentile_year
,corresponding_author_ids
,countries_distinct_count
,institutions_distinct_count
,_ab_source_file_last_modified
,corresponding_institution_ids
,sustainable_development_goals
,best_oa_location
,_airbyte_extracted_at
